Player,Span,Matches,Innings,NO,Runs,HS,Average,Centuries,Half Centuries,Ducks,Team
SR Tendulkar,1989-2013,200,329,33,15921,248*,53.78,51,68,14,India
R Dravid,1996-2012,163,284,32,13265,270,52.63,36,63,7,India
SM Gavaskar,1971-1987,125,214,16,10122,236*,51.12,34,45,12,India
VVS Laxman,1996-2012,134,225,34,8781,281,45.97,17,56,14,India
V Sehwag,2001-2013,103,178,6,8503,319,49.43,23,31,16,India
SC Ganguly,1996-2008,113,188,17,7212,239,42.17,16,35,13,India
DB Vengsarkar,1976-1992,116,185,22,6868,166,42.13,17,35,15,India
M Azharuddin,1984-2000,99,147,9,6215,199,45.03,22,21,5,India
GR Viswanath,1969-1983,91,155,10,6080,222,41.93,14,35,10,India
N Kapil Dev,1978-1994,131,184,15,5248,163,31.05,8,27,16,India
MS Dhoni,2005-2014,89*,141,15,4841,224,38.42,6,33,9,India
M Amarnath,1969-1988,69,113,10,4378,138,42.5,11,24,12,India
G Gambhir,2004-2014,56,100,5,4046,206,42.58,9,21,6,India
RJ Shastri,1981-1992,80,121,14,3830,206,35.79,11,12,9,India
PR Umrigar,1948-1962,59,94,8,3631,223,42.22,12,14,5,India
VL Manjrekar,1951-1965,55,92,10,3208,189*,39.12,7,15,11,India
NS Sidhu,1983-1999,51,78,2,3202,201,42.13,9,15,9,India
CG Borde,1958-1969,55,97,11,3061,177*,35.59,5,18,13,India
MAK Pataudi,1961-1975,46,83,3,2793,203*,34.91,6,16,7,India
SMH Kirmani,1976-1986,88,124,22,2759,102,27.04,2,12,7,India
FM Engineer,1961-1975,46,87,3,2611,121,31.08,2,16,7,India
A Kumble,1990-2008,132,173,32,2506,110*,17.77,1,5,17,India
P Roy,1951-1960,43,79,4,2442,173,32.56,5,9,14,India
Harbhajan Singh,1998-2013,101,142,22,2202,115,18.35,2,9,19,India
VS Hazare,1946-1953,30,52,6,2192,164*,47.65,7,9,4,India
V Kohli,2011-2014,31*,54,4,2130,141,42.6,8,9,4,India
AL Wadekar,1966-1974,37,71,3,2113,143,31.07,1,14,7,India
MH Mankad,1946-1959,44,72,5,2109,231,31.47,5,6,7,India
CPS Chauhan,1969-1981,40,68,2,2084,97,31.57,0,16,6,India
K Srikkanth,1981-1992,43,72,3,2062,123,29.88,2,12,7,India
ML Jaisimha,1959-1971,39,71,4,2056,129,30.68,3,12,9,India
SV Manjrekar,1987-1996,37,61,6,2043,218,37.14,4,9,3,India
M Vijay,2008-2014,29*,50,0,2002,167,40.04,5,8,2,India
DN Sardesai,1961-1972,30,55,4,2001,212,39.23,5,9,4,India
AD Gaekwad,1974-1985,40,70,4,1985,201,30.07,2,10,4,India
CA Pujara,2010-2014,26*,45,4,1984,206*,48.39,6,6,1,India
W Jaffer,2000-2008,31,58,1,1944,212,34.1,5,11,6,India
Yuvraj Singh,2003-2012,40,62,6,1900,169,33.92,3,11,7,India
NJ Contractor,1955-1962,31,52,1,1611,108,31.58,1,11,2,India
Yashpal Sharma,1979-1983,37,59,11,1606,140,33.45,2,9,4,India
M Prabhakar,1984-1995,39,58,9,1600,120,32.65,1,9,3,India
SM Patil,1980-1984,29,47,4,1588,174,36.93,4,7,4,India
NR Mongia,1994-2001,44,68,8,1442,152,24.03,1,6,6,India
RG Nadkarni,1955-1968,41,67,12,1414,122*,25.7,1,7,6,India
S Ramesh,1999-2001,19,37,1,1367,143,37.97,2,8,3,India
SS Das,2000-2002,23,40,2,1326,110,34.89,2,9,3,India
KS More,1986-1993,49,64,14,1285,73,25.7,0,7,7,India
RF Surti,1960-1969,26,48,4,1263,99,28.7,0,9,5,India
Z Khan,2000-2014,92,127,24,1231,75,11.95,0,3,29,India
DG Phadkar,1947-1959,31,45,7,1229,123,32.34,2,8,3,India
RT Ponting,1995-2012,168,287,29,13378,257,51.85,41,62,17,Australia
AR Border,1978-1994,156,265,44,11174,205,50.56,27,63,11,Australia
SR Waugh,1985-2004,168,260,46,10927,200,51.06,32,50,22,Australia
ML Hayden,1994-2009,103,184,14,8625,380,50.73,30,29,14,Australia
MJ Clarke,2004-2014,108,186,20,8432,329*,50.79,28,27,9,Australia
ME Waugh,1991-2002,128,209,17,8029,153*,41.81,20,47,19,Australia
JL Langer,1993-2007,105,182,12,7696,250,45.27,23,30,11,Australia
MA Taylor,1989-1999,104,186,13,7525,334*,43.49,19,40,5,Australia
DC Boon,1984-1996,107,190,20,7422,200,43.65,21,32,16,Australia
GS Chappell,1970-1984,87,151,19,7110,247*,53.86,24,31,12,Australia
DG Bradman,1928-1948,52,80,10,6996,334,99.94,29,13,7,Australia
MEK Hussey,2005-2013,79,137,16,6235,195,51.52,19,29,12,Australia
RN Harvey,1948-1963,79,137,10,6149,205,48.41,21,24,7,Australia
AC Gilchrist,1999-2008,96,137,20,5570,204*,47.6,17,26,14,Australia
KD Walters,1965-1981,74,125,14,5357,250,48.26,15,33,4,Australia
IM Chappell,1964-1980,75,136,10,5345,196,42.42,14,26,11,Australia
MJ Slater,1993-2001,74,131,7,5312,219,42.83,14,21,9,Australia
WM Lawry,1961-1971,67,123,12,5234,210,47.15,13,27,6,Australia
